name,nDCG@10,RR@10,AP,time
BM25,0.510402147058545,0.9352083333333333,0.43516347483933837,
lambdaMART,0.5179176999164956,0.8928472222222221,0.4278978952967982,10.116052
lambdaRank,0.5347822018237304,0.9123888888888889,0.43914890970479953,9.166888
rankSVM,0.2024656660807006,0.5819325396825397,0.193957660194612,1218.685691
coordAscent,0.5432126456158795,0.9243333333333333,0.4423676081282515,23.88563
randomForest,0.521761179705164,0.893172619047619,0.4264690474139659,11.751231
rankNet,0.38512029046079327,0.8140138888888889,0.2912694493436197,14.340625
