name,nDCG@10,RR@10,AP,time
BM25,0.24355620613560877,0.45131172839506184,0.09200200354408689,
lambdaMART,0.24539343029742178,0.44064704585537945,0.0951328856167391,5.798117
lambdaRank,0.24581510249064945,0.44782572751322774,0.09597607000995845,4.699745
rankSVM,0.12208324918315662,0.2581156305114638,0.04579992460910476,1254.2858
coordAscent,0.2413412216765592,0.4393904320987656,0.09110488420451959,11.660058
randomForest,0.24001508920994816,0.4492945326278661,0.09101008044325339,4.856979
rankNet,0.24069989758709623,0.443361441798942,0.09162837232724785,15.111008
